,Total,Total,Total,Total,CONVENIENCE,CONVENIENCE,CONVENIENCE,CONVENIENCE,GROCERY,GROCERY,GROCERY,GROCERY,ON PREMISES,ON PREMISES,ON PREMISES,ON PREMISES,PROVINCE1,PROVINCE1,PROVINCE1,PROVINCE1,PROVINCE2,PROVINCE2,PROVINCE2,PROVINCE2,PROVINCE3,PROVINCE3,PROVINCE3,PROVINCE3,DISTRICT1,DISTRICT1,DISTRICT1,DISTRICT1,DISTRICT2,DISTRICT2,DISTRICT2,DISTRICT2,DISTRICT3,DISTRICT3,DISTRICT3,DISTRICT3,DISTRICT4,DISTRICT4,DISTRICT4,DISTRICT4,DISTRICT5,DISTRICT5,DISTRICT5,DISTRICT5
Month,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6
a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Apple (Fl),2.26825,2.55697,1.97979,1.94561,3.57211,3.39754,2.68524,2.65013,1.75968,2.2292,1.6352,1.58206,2.14601,2.3307,2.29792,2.531,2.27756,2.44954,1.90295,1.8729,2.24406,4.65612,3.31214,3.1921,0.0,0.0,0.0,0.0,1.87191,1.77964,0.71906,1.41975,2.27274,2.2185,1.88424,1.76498,5.29779,6.93047,6.21393,5.5617,0.0,0.0,0.0,0.0,0.90797,2.529,2.64912,0.567
 Citrus (Fl),8.85934,8.1923,8.41367,9.22159,7.89344,8.04623,7.36989,8.38009,9.12889,7.85274,8.4817,8.93303,9.68473,11.1895,11.10229,14.48329,8.73157,8.03487,8.51261,9.25082,8.84981,10.17667,5.35836,7.16591,47.91786,15.53068,26.00103,25.91891,7.60705,6.37633,7.09888,8.80157,10.54005,10.11369,10.57653,9.96816,10.73824,9.91726,7.13363,10.53247,10.27573,13.85702,9.74501,17.41145,4.72795,2.39594,6.36332,3.40856
 Cola (Fl),16.04486,16.55611,16.05886,16.40484,15.31391,15.32694,13.58832,15.12317,16.83578,17.1254,17.17315,16.86696,12.64638,16.21565,15.60622,16.98329,15.69006,16.11029,15.54024,16.37277,21.38277,22.18905,22.83945,18.47334,0.0,37.19705,27.51969,0.0,16.05879,16.45744,15.39391,15.90048,14.65508,14.71114,15.00323,16.65361,16.96037,18.65605,21.01365,14.0759,14.18856,20.28202,12.61595,22.38344,20.5918,19.33592,17.92849,18.15233
 Lamonade (Fl),16.24548,15.75824,15.13326,15.7045,16.17945,15.87224,14.37861,14.59369,16.2155,16.09468,15.15453,16.19535,16.63364,12.88623,17.27672,15.4608,16.27982,15.42396,15.17772,15.1485,14.25166,19.39452,14.90998,22.12415,52.08214,37.19705,10.13228,32.6759,15.92384,15.69489,16.8539,15.01759,16.08741,14.1736,13.46751,15.4069,16.74066,19.39522,15.21404,19.0352,15.01022,15.83989,13.74774,17.30026,18.10688,17.38463,15.74742,14.27726
 Lychee (Fl),1.01564,1.0827,1.19306,1.33907,1.42273,2.59246,3.53077,2.90477,0.99946,0.58467,0.36542,0.85124,0.0,0.0,0.0,0.0,1.09654,1.15187,1.27943,1.44025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2119,0.77426,0.41499,0.71712,2.3301,2.1753,2.46984,2.83308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.68907,0.0,1.5718,1.09147
 Orange (Fl),12.10938,12.59118,12.76292,11.06733,12.89682,11.04272,13.4915,10.382,12.12315,12.80588,12.61421,11.26386,9.83593,15.91049,11.60998,11.79368,11.97928,12.20994,12.49393,10.80315,12.09099,15.73077,14.70804,11.94169,52.08214,47.27227,36.347,41.40519,11.38129,15.14768,13.5895,10.03366,11.50627,8.87749,11.6205,10.13013,14.12518,13.90785,14.38249,14.40133,7.97524,8.66285,10.12556,8.37901,16.67008,17.70298,13.52132,14.72129
 Pomegranate (Fl),0.76913,1.11386,1.58825,0.90805,0.0,0.0,1.28778,0.0,1.19187,1.41815,1.68575,1.39526,0.0,2.38375,1.80509,0.0,0.83039,1.18502,1.70323,0.97666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.10968,1.26441,2.46065,1.71703,0.75686,0.54149,0.42025,0.24889,0.0,0.0,0.0,0.0,0.0,4.00157,2.50358,0.0,0.90797,2.63241,3.73401,1.55849
