Date,Hour,Speakers,Duration
01-03-2024,1445-1454,SPEAKER_00,445
01-03-2024,1445-1454,SPEAKER_01,4
08-03-2024,0100-0200,SPEAKER_01,264
08-03-2024,0100-0200,SPEAKER_02,6
08-03-2024,0100-0200,SPEAKER_03,288
08-03-2024,0100-0200,SPEAKER_04,398
08-03-2024,0100-0200,SPEAKER_05,210
08-03-2024,0100-0200,SPEAKER_06,342
08-03-2024,0100-0200,SPEAKER_07,79
08-03-2024,0100-0200,SPEAKER_08,202
08-03-2024,0100-0200,SPEAKER_09,777
08-03-2024,0100-0200,SPEAKER_10,699
08-03-2024,0100-0200,SPEAKER_11,9
15-03-2024,1150-1300,SPEAKER_01,94
15-03-2024,1150-1300,SPEAKER_02,428
15-03-2024,1150-1300,SPEAKER_03,290
15-03-2024,1150-1300,SPEAKER_04,54
15-03-2024,1150-1300,SPEAKER_05,563
15-03-2024,1150-1300,SPEAKER_06,66
15-03-2024,1150-1300,SPEAKER_07,229
15-03-2024,1150-1300,SPEAKER_08,18
15-03-2024,1150-1300,SPEAKER_09,151
15-03-2024,1150-1300,SPEAKER_10,16
15-03-2024,1150-1300,SPEAKER_11,546
15-03-2024,1150-1300,SPEAKER_12,503
15-03-2024,1150-1300,SPEAKER_13,66
15-03-2024,1150-1300,SPEAKER_14,112
15-03-2024,1150-1300,SPEAKER_15,120
15-03-2024,1150-1300,SPEAKER_16,311
17-02-2024,0100-0200,SPEAKER_01,298
17-02-2024,0100-0200,SPEAKER_03,2
17-02-2024,0100-0200,SPEAKER_04,345
17-02-2024,0100-0200,SPEAKER_05,1026
17-02-2024,0100-0200,SPEAKER_06,11
17-02-2024,0100-0200,SPEAKER_07,590
17-02-2024,0100-0200,SPEAKER_09,112
17-02-2024,0100-0200,SPEAKER_10,452
17-02-2024,0100-0200,SPEAKER_11,85
17-02-2024,0100-0200,SPEAKER_12,30
17-02-2024,0100-0200,SPEAKER_13,8
17-02-2024,0100-0200,SPEAKER_14,38
17-02-2024,0100-0200,SPEAKER_15,90
17-02-2024,0100-0200,SPEAKER_16,42
17-02-2024,0100-0200,SPEAKER_17,9
17-02-2024,0100-0200,SPEAKER_18,30
17-02-2024,0100-0200,SPEAKER_19,34
17-02-2024,0100-0200,SPEAKER_20,22
17-02-2024,0100-0200,SPEAKER_21,17
24-09-2023,1120-1240,SPEAKER_01,51
24-09-2023,1120-1240,SPEAKER_02,216
24-09-2023,1120-1240,SPEAKER_03,796
24-09-2023,1120-1240,SPEAKER_04,243
24-09-2023,1120-1240,SPEAKER_05,178
24-09-2023,1120-1240,SPEAKER_06,78
24-09-2023,1120-1240,SPEAKER_07,231
24-09-2023,1120-1240,SPEAKER_08,44
24-09-2023,1120-1240,SPEAKER_09,104
24-09-2023,1120-1240,SPEAKER_10,97
24-09-2023,1120-1240,SPEAKER_11,20
24-09-2023,1120-1240,SPEAKER_12,90
24-09-2023,1120-1240,SPEAKER_13,57
24-09-2023,1120-1240,SPEAKER_14,608
24-09-2023,1120-1240,SPEAKER_15,721
24-09-2023,1120-1240,SPEAKER_17,161
24-09-2023,1120-1240,SPEAKER_18,47
24-09-2023,1120-1240,SPEAKER_19,465
24-09-2023,1120-1240,SPEAKER_20,121
24-09-2023,1120-1240,SPEAKER_21,71
24-09-2023,1120-1240,SPEAKER_22,18
24-09-2023,1120-1240,SPEAKER_23,24
24-09-2023,1120-1240,SPEAKER_24,8
24-09-2023,1120-1240,SPEAKER_25,19
24-09-2023,1120-1240,SPEAKER_26,2
